# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1706797402.47141 -0.071938 -0.028069 0.416293 0.004170 0.030285 0.082877 0.996091 0.0001192978 0.0000252374 0.0000321244 0.0001530360 -0.0000317120 0.0005212195 0.0027699674 0.0000590934 -0.0000469337 0.0026418818 0.0000174367 0.0029331659
1706797402.53983 -0.086578 -0.021838 0.486640 0.008743 0.026310 0.096621 0.994935 0.0000281430 0.0000061966 -0.0000108432 0.0000464247 0.0000032346 0.0004217112 0.0027173067 0.0000568857 -0.0000385573 0.0026057761 0.0000163190 0.0029107275
1706797402.60676 -0.092242 -0.020143 0.551087 0.008915 0.027339 0.109444 0.993577 0.0000257535 0.0000056455 -0.0000083224 0.0000439521 0.0000086269 0.0004161887 0.0027089260 0.0000431744 -0.0000458090 0.0025977633 0.0000046759 0.0028972862
1706797402.67358 -0.101132 -0.022974 0.606647 0.009497 0.027989 0.122934 0.991975 0.0000233394 0.0000053455 -0.0000088462 0.0000398314 0.0000087710 0.0004155880 0.0027166195 0.0000437911 -0.0000522551 0.0026055052 -0.0000016483 0.0028937921
1706797402.74013 -0.109118 -0.027309 0.656774 0.010053 0.029077 0.136779 0.990124 0.0000190244 0.0000040431 -0.0000113739 0.0000325068 0.0000095025 0.0004137835 0.0027101283 0.0000398158 -0.0000582264 0.0026097040 -0.0000070780 0.0028461626
1706797402.80696 -0.109729 -0.025072 0.702098 0.009665 0.029517 0.149100 0.988334 0.0000157516 0.0000033599 -0.0000141377 0.0000266986 0.0000112502 0.0004119603 0.0026968638 0.0000337056 -0.0000571536 0.0026122692 -0.0000113301 0.0028141463
1706797402.87329 -0.119361 -0.030050 0.746253 0.009797 0.029694 0.162839 0.986157 0.0000128984 0.0000028176 -0.0000166730 0.0000202194 0.0000124495 0.0004088908 0.0026799663 0.0000247013 -0.0000529736 0.0026070461 -0.0000117617 0.0027779883
1706797402.93980 -0.128149 -0.032546 0.783583 0.008709 0.029735 0.175816 0.983935 0.0000114172 0.0000021560 -0.0000180798 0.0000171551 0.0000124627 0.0004081276 0.0026738867 0.0000237116 -0.0000522261 0.0026115440 -0.0000135813 0.0027653114
1706797403.00624 -0.128772 -0.032203 0.808784 0.006836 0.030525 0.187054 0.981852 0.0000096453 0.0000005117 -0.0000203586 0.0000121893 0.0000109929 0.0004069443 0.0026401064 0.0000222469 -0.0000478759 0.0026146563 -0.0000179559 0.0027307475
1706797403.07247 -0.145255 -0.035284 0.832489 0.006486 0.031748 0.196821 0.979904 0.0000089260 0.0000001889 -0.0000220186 0.0000100527 0.0000103736 0.0004059092 0.0026356808 0.0000221149 -0.0000433332 0.0026158900 -0.0000196612 0.0027110852
1706797403.13970 -0.147890 -0.035680 0.852983 0.005832 0.032558 0.203212 0.978576 0.0000085337 0.0000000644 -0.0000230294 0.0000089784 0.0000105609 0.0004050194 0.0026362149 0.0000213143 -0.0000411582 0.0026184425 -0.0000199180 0.0026971692
1706797403.20690 -0.147765 -0.035026 0.864024 0.005202 0.032760 0.208026 0.977561 0.0000081183 -0.0000000835 -0.0000239829 0.0000078476 0.0000103487 0.0004042792 0.0026358706 0.0000195385 -0.0000391272 0.0026164440 -0.0000172389 0.0026844960
1706797403.27353 -0.151402 -0.035789 0.874321 0.003723 0.033187 0.212201 0.976655 0.0000078150 -0.0000001578 -0.0000244358 0.0000070265 0.0000089963 0.0004039543 0.0026344148 0.0000183233 -0.0000373627 0.0026153519 -0.0000156212 0.0026756285
1706797403.34002 -0.147876 -0.031928 0.873267 0.003128 0.032702 0.214523 0.976166 0.0000074819 -0.0000002557 -0.0000250743 0.0000063731 0.0000087565 0.0004035472 0.0026272348 0.0000157613 -0.0000328730 0.0026132826 -0.0000128106 0.0026640010
1706797403.40695 -0.151235 -0.033263 0.881678 0.002433 0.033360 0.216119 0.975794 0.0000070559 -0.0000002851 -0.0000251690 0.0000057487 0.0000080120 0.0004029094 0.0026164234 0.0000110009 -0.0000259078 0.0026066247 -0.0000079775 0.0026486734
1706797403.47404 -0.150806 -0.033327 0.888751 0.001940 0.034208 0.216345 0.975715 0.0000069199 -0.0000003028 -0.0000257739 0.0000054569 0.0000078367 0.0004025918 0.0026127315 0.0000091776 -0.0000233653 0.0026053443 -0.0000067202 0.0026450544
1706797403.54170 -0.153360 -0.036380 0.897428 0.001371 0.034341 0.215927 0.975805 0.0000067840 -0.0000002962 -0.0000259750 0.0000052030 0.0000073132 0.0004023220 0.0026099036 0.0000082135 -0.0000214289 0.0026034715 -0.0000061030 0.0026427918
1706797403.60929 -0.154323 -0.038830 0.904172 0.000558 0.034281 0.214810 0.976054 0.0000066775 -0.0000002856 -0.0000261238 0.0000049958 0.0000067023 0.0004021665 0.0026076429 0.0000073116 -0.0000199315 0.0026023788 -0.0000058714 0.0026414810
1706797403.67690 -0.154238 -0.040303 0.909912 -0.000347 0.033943 0.213266 0.976404 0.0000065468 -0.0000002516 -0.0000261488 0.0000047814 0.0000058832 0.0004020378 0.0026052101 0.0000064380 -0.0000183098 0.0026008913 -0.0000058006 0.0026400172
1706797403.74451 -0.154407 -0.041578 0.915873 -0.000678 0.033379 0.211603 0.976785 0.0000063029 -0.0000002656 -0.0000255884 0.0000045087 0.0000054659 0.0004017431 0.0026024064 0.0000053671 -0.0000164999 0.0025976020 -0.0000055297 0.0026368304
1706797403.81209 -0.154850 -0.043708 0.921461 -0.001508 0.032494 0.209992 0.977162 0.0000060947 -0.0000002055 -0.0000249543 0.0000043510 0.0000047308 0.0004016516 0.0025998253 0.0000047071 -0.0000149732 0.0025959938 -0.0000058519 0.0026351015
1706797403.87887 -0.154216 -0.046927 0.923370 -0.001122 0.032679 0.208065 0.977568 0.0000060314 -0.0000002561 -0.0000253294 0.0000042313 0.0000052960 0.0004013545 0.0025971303 0.0000040833 -0.0000131804 0.0025945895 -0.0000061263 0.0026326576
1706797403.94539 -0.153603 -0.047308 0.929902 -0.001754 0.032593 0.205856 0.978038 0.0000059012 -0.0000001645 -0.0000251972 0.0000040852 0.0000042178 0.0004011847 0.0025944320 0.0000032337 -0.0000118007 0.0025928664 -0.0000064653 0.0026310641
1706797404.01301 -0.151693 -0.049463 0.929743 -0.002087 0.031482 0.204051 0.978452 0.0000057092 -0.0000001372 -0.0000244724 0.0000039607 0.0000039876 0.0004011752 0.0025916166 0.0000026123 -0.0000101807 0.0025910808 -0.0000068987 0.0026285085
1706797404.08065 -0.149248 -0.051098 0.930428 -0.003542 0.028980 0.201943 0.978962 0.0000054132 -0.0000000226 -0.0000228182 0.0000038217 0.0000022829 0.0004012934 0.0025888736 0.0000017760 -0.0000087398 0.0025889719 -0.0000072421 0.0026261194
1706797404.14826 -0.146556 -0.052636 0.930672 -0.003888 0.027480 0.199606 0.979483 0.0000052118 0.0000000169 -0.0000217923 0.0000037088 0.0000016911 0.0004013091 0.0025862173 0.0000010008 -0.0000072025 0.0025869298 -0.0000075171 0.0026233844
1706797404.21595 -0.143719 -0.053514 0.930690 -0.004389 0.026160 0.197317 0.979981 0.0000050372 0.0000000636 -0.0000208671 0.0000036170 0.0000009712 0.0004013030 0.0025836987 0.0000002417 -0.0000056799 0.0025849269 -0.0000076910 0.0026205325
1706797404.28355 -0.140807 -0.053703 0.930540 -0.004916 0.025425 0.194810 0.980499 0.0000049141 0.0000000989 -0.0000203544 0.0000035325 0.0000003335 0.0004012588 0.0025813028 -0.0000004690 -0.0000041448 0.0025829837 -0.0000077828 0.0026172812
1706797404.35114 -0.138163 -0.053460 0.930505 -0.005134 0.024571 0.192225 0.981030 0.0000047840 0.0000001186 -0.0000196946 0.0000034573 -0.0000000577 0.0004012243 0.0025790656 -0.0000011293 -0.0000026267 0.0025810747 -0.0000077967 0.0026137971
1706797404.41866 -0.135438 -0.052988 0.928405 -0.005236 0.023731 0.189624 0.981556 0.0000046647 0.0000001265 -0.0000190729 0.0000033930 -0.0000002547 0.0004011900 0.0025770010 -0.0000017493 -0.0000011738 0.0025792077 -0.0000077363 0.0026102131
1706797404.48579 -0.132520 -0.051194 0.926528 -0.004590 0.023508 0.186916 0.982084 0.0000045774 0.0000001070 -0.0000187006 0.0000033392 0.0000001462 0.0004011314 0.0025751206 -0.0000023120 0.0000001456 0.0025773801 -0.0000075719 0.0026069135
1706797404.55231 -0.130157 -0.049814 0.924040 -0.004888 0.022881 0.184221 0.982606 0.0000044919 0.0000001172 -0.0000183411 0.0000032779 -0.0000002662 0.0004010454 0.0025733508 -0.0000028068 0.0000013366 0.0025755700 -0.0000073340 0.0026031779
1706797404.61890 -0.127528 -0.047409 0.923884 -0.004666 0.022596 0.181584 0.983105 0.0000044270 0.0000001213 -0.0000180875 0.0000032445 -0.0000003325 0.0004009882 0.0025717660 -0.0000032831 0.0000024140 0.0025738457 -0.0000069939 0.0025998881
1706797404.68557 -0.125068 -0.045592 0.921960 -0.004852 0.022356 0.178861 0.983608 0.0000043911 0.0000001333 -0.0000180785 0.0000032203 -0.0000005345 0.0004009218 0.0025702857 -0.0000036925 0.0000034026 0.0025721661 -0.0000066399 0.0025965272
1706797404.75214 -0.122754 -0.043298 0.920298 -0.004018 0.022081 0.176415 0.984060 0.0000043238 0.0000001083 -0.0000177077 0.0000031936 0.0000000060 0.0004008935 0.0025689270 -0.0000041145 0.0000043346 0.0025705338 -0.0000062554 0.0025931418
1706797404.81867 -0.120616 -0.041471 0.918083 -0.003866 0.021720 0.174341 0.984438 0.0000042730 0.0000001092 -0.0000174645 0.0000031712 0.0000000102 0.0004008749 0.0025676688 -0.0000045074 0.0000051657 0.0025689746 -0.0000058765 0.0025898292
1706797404.88519 -0.118813 -0.039684 0.916333 -0.003618 0.021569 0.172528 0.984762 0.0000042318 0.0000001040 -0.0000173175 0.0000031501 0.0000001211 0.0004008466 0.0025665236 -0.0000049109 0.0000058980 0.0025674803 -0.0000054415 0.0025865926
1706797404.95179 -0.117536 -0.037666 0.915513 -0.003050 0.021367 0.171072 0.985022 0.0000041723 0.0000000840 -0.0000169498 0.0000031344 0.0000005704 0.0004008332 0.0025654742 -0.0000052926 0.0000065344 0.0025660621 -0.0000049840 0.0025836091
1706797405.01852 -0.116473 -0.035137 0.912293 -0.003180 0.022661 0.169937 0.985189 0.0000042458 0.0000000765 -0.0000180701 0.0000031229 0.0000006852 0.0004006889 0.0025644958 -0.0000056238 0.0000070462 0.0025647276 -0.0000044399 0.0025808235
1706797405.08514 -0.115346 -0.032969 0.910286 -0.003129 0.022647 0.168946 0.985360 0.0000042147 0.0000000769 -0.0000180049 0.0000031092 0.0000006534 0.0004006597 0.0025635844 -0.0000058812 0.0000074555 0.0025634606 -0.0000039482 0.0025782052
1706797405.15167 -0.115214 -0.030475 0.905584 -0.003088 0.022779 0.167987 0.985521 0.0000042076 0.0000000681 -0.0000181996 0.0000030968 0.0000007802 0.0004006033 0.0025627731 -0.0000061157 0.0000078141 0.0025623045 -0.0000034220 0.0025755720
1706797405.21838 -0.115465 -0.029217 0.903717 -0.002659 0.022613 0.167177 0.985664 0.0000041669 0.0000000606 -0.0000180189 0.0000030855 0.0000009209 0.0004005758 0.0025620169 -0.0000062949 0.0000081052 0.0025613212 -0.0000029563 0.0025732802
1706797405.28500 -0.116062 -0.027535 0.901783 -0.001992 0.023264 0.166559 0.985755 0.0000041846 0.0000000291 -0.0000184603 0.0000030779 0.0000015206 0.0004004953 0.0025613740 -0.0000064942 0.0000083659 0.0025604508 -0.0000024970 0.0025710083
1706797405.35158 -0.116707 -0.025300 0.899078 -0.001549 0.023765 0.166456 0.985761 0.0000041879 0.0000000001 -0.0000187768 0.0000030673 0.0000019616 0.0004004200 0.0025607679 -0.0000066319 0.0000085459 0.0025596193 -0.0000020520 0.0025687458
1706797405.41812 -0.117423 -0.022972 0.897441 -0.001642 0.023926 0.166770 0.985704 0.0000041750 -0.0000000016 -0.0000188507 0.0000030587 0.0000019256 0.0004003789 0.0025602144 -0.0000067188 0.0000087016 0.0025588685 -0.0000016192 0.0025667555
1706797405.48472 -0.118202 -0.020581 0.895690 -0.001409 0.024370 0.167486 0.985572 0.0000041894 -0.0000000160 -0.0000191983 0.0000030513 0.0000021380 0.0004003191 0.0025597286 -0.0000067740 0.0000088104 0.0025581895 -0.0000012561 0.0025648683
1706797405.55134 -0.119445 -0.018895 0.893273 -0.000756 0.024796 0.168144 0.985450 0.0000042019 -0.0000000491 -0.0000195155 0.0000030487 0.0000027395 0.0004002581 0.0025593044 -0.0000067946 0.0000089038 0.0025575844 -0.0000009525 0.0025631280
