# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1706797402.471406936645508,0.01562,0.00056,0.00277,0.00000,0.00001,0.00342,0.02237
1706797402.539828300476074,0.00542,0.00025,0.00271,0.00000,0.00789,0.00358,0.01985
1706797402.606760978698730,0.00624,0.00081,0.00298,0.00420,0.00000,0.00473,0.01896
1706797402.673580169677734,0.01906,0.00034,0.00060,0.00265,0.00000,0.00539,0.02805
1706797402.740128040313721,0.01132,0.00040,0.00132,0.00225,0.00000,0.00400,0.01928
1706797402.806955575942993,0.00690,0.00054,0.00050,0.00578,0.00000,0.00842,0.02215
1706797402.873289585113525,0.00679,0.00028,0.00339,0.00180,0.00000,0.00955,0.02180
1706797402.939795494079590,0.00500,0.00034,0.00135,0.00190,0.00014,0.00645,0.01517
1706797403.006235599517822,0.00726,0.00026,0.00128,0.00139,0.01184,0.01275,0.03479
1706797403.072467803955078,0.01531,0.00072,0.00124,0.00560,0.01063,0.00639,0.03990
1706797403.139702796936035,0.00709,0.00019,0.00049,0.00212,0.00352,0.00205,0.01546
1706797403.206902027130127,0.00403,0.00034,0.00074,0.00534,0.01013,0.00257,0.02315
1706797403.273527145385742,0.00962,0.00043,0.00153,0.00779,0.01253,0.00666,0.03857
1706797403.340018272399902,0.00680,0.00042,0.00002,0.00604,0.01766,0.00472,0.03566
1706797403.406951189041138,0.01247,0.00118,0.03025,0.00871,0.00379,0.00579,0.06218
1706797403.474042654037476,0.00418,0.00028,0.01394,0.01081,0.00330,0.00238,0.03487
1706797403.541702985763550,0.00724,0.00041,0.00601,0.00735,0.00000,0.00396,0.02496
1706797403.609285354614258,0.00532,0.00039,0.00002,0.01272,0.00000,0.00309,0.02154
1706797403.676898002624512,0.00491,0.00032,0.00022,0.01668,0.00000,0.00469,0.02682
1706797403.744508028030396,0.00509,0.00065,0.01357,0.01337,0.00006,0.00462,0.03736
1706797403.812094688415527,0.00564,0.00041,0.00002,0.01118,0.00000,0.00411,0.02137
1706797403.878869295120239,0.00623,0.00039,0.00031,0.01365,0.00005,0.00215,0.02277
1706797403.945385456085205,0.00441,0.00036,0.00012,0.01035,0.00004,0.00222,0.01750
1706797404.013005495071411,0.00610,0.00096,0.00009,0.02035,0.00000,0.00702,0.03453
1706797404.080651044845581,0.00481,0.00055,0.00098,0.01632,0.00000,0.00686,0.02953
1706797404.148261070251465,0.00577,0.00025,0.00007,0.01508,0.00000,0.00382,0.02499
1706797404.215954780578613,0.00680,0.00083,0.00052,0.01472,0.00084,0.01026,0.03398
1706797404.283546447753906,0.00645,0.00026,0.00002,0.01070,0.00083,0.00528,0.02355
1706797404.351137876510620,0.00644,0.00051,0.00002,0.00523,0.00027,0.00295,0.01541
1706797404.418659210205078,0.00459,0.00084,0.00003,0.01303,0.00000,0.00830,0.02678
1706797404.485794782638550,0.01391,0.00100,0.00006,0.01547,0.00000,0.00526,0.03572
1706797404.552309513092041,0.00718,0.00049,0.00408,0.00788,0.00045,0.00564,0.02572
1706797404.618901968002319,0.00504,0.00020,0.00002,0.00890,0.00000,0.00488,0.01903
1706797404.685566186904907,0.00936,0.00057,0.00013,0.01511,0.00052,0.00572,0.03141
1706797404.752142667770386,0.00649,0.00044,0.00002,0.00763,0.00009,0.00556,0.02023
1706797404.818673849105835,0.00585,0.00032,0.00013,0.00700,0.00000,0.00747,0.02077
1706797404.885190725326538,0.00968,0.00149,0.00047,0.01876,0.00000,0.00254,0.03296
1706797404.951793193817139,0.00746,0.00021,0.00001,0.00440,0.00000,0.00193,0.01402
1706797405.018522500991821,0.00856,0.00097,0.00044,0.01530,0.00061,0.00702,0.03290
1706797405.085144042968750,0.00751,0.00023,0.00002,0.00600,0.00043,0.00842,0.02259
1706797405.151670455932617,0.00710,0.00048,0.00003,0.01262,0.00052,0.00239,0.02314
1706797405.218376398086548,0.00882,0.00041,0.00002,0.01502,0.00000,0.00311,0.02739
1706797405.285004854202271,0.00398,0.00046,0.00012,0.01172,0.00000,0.00670,0.02298
1706797405.351580858230591,0.00892,0.00053,0.00271,0.00853,0.00093,0.00562,0.02724
1706797405.418115854263306,0.00563,0.00021,0.00001,0.00516,0.00000,0.00410,0.01510
1706797405.484716415405273,0.00640,0.00036,0.00002,0.01483,0.00036,0.00301,0.02500
1706797405.551336288452148,0.00669,0.00042,0.00002,0.00955,0.00018,0.00545,0.02231
1706797405.617902278900146,0.00385,0.00037,0.00002,0.00873,0.00000,0.00669,0.01967
1706797405.684441089630127,0.01036,0.00091,0.00006,0.01735,0.00000,0.00573,0.03441
1706797405.750980377197266,0.00410,0.00030,0.00005,0.00460,0.00000,0.00195,0.01100
1706797405.817486047744751,0.00355,0.00068,0.00029,0.00856,0.00071,0.00467,0.01845
1706797405.884016513824463,0.00669,0.00076,0.00005,0.00975,0.00018,0.00220,0.01963
1706797405.950492382049561,0.00733,0.00080,0.00007,0.01195,0.00029,0.00464,0.02509
1706797406.017084360122681,0.00379,0.00021,0.00001,0.00450,0.00000,0.00459,0.01311
1706797406.083599805831909,0.00727,0.00025,0.00002,0.00982,0.00000,0.00528,0.02265
1706797406.150137424468994,0.00969,0.00105,0.00107,0.01497,0.00034,0.00193,0.02906
1706797406.216792106628418,0.00693,0.00030,0.00002,0.00538,0.00000,0.00331,0.01595
1706797406.283305168151855,0.00608,0.00033,0.00010,0.01090,0.00023,0.00214,0.01979
1706797406.349883079528809,0.00698,0.00026,0.00001,0.00654,0.00009,0.00577,0.01966
1706797406.416444540023804,0.00920,0.00028,0.00002,0.01284,0.00000,0.00565,0.02800
1706797406.483066797256470,0.00371,0.00034,0.00003,0.01469,0.00000,0.00447,0.02324
1706797406.549540996551514,0.00547,0.00134,0.00008,0.01214,0.00000,0.00393,0.02296
1706797406.616144418716431,0.00362,0.00020,0.00011,0.01107,0.00053,0.00380,0.01932
1706797406.682715415954590,0.00643,0.00030,0.00002,0.01274,0.00034,0.00625,0.02608
1706797406.749311923980713,0.00377,0.00040,0.00002,0.01127,0.00098,0.00884,0.02529
1706797406.815951347351074,0.00487,0.00031,0.00002,0.00389,0.00000,0.00188,0.01098
1706797406.882690429687500,0.00466,0.00025,0.00002,0.00441,0.00000,0.00175,0.01108
1706797406.949217081069946,0.00282,0.00020,0.00015,0.00387,0.00027,0.00264,0.00995
1706797407.015793561935425,0.00443,0.00036,0.00002,0.00494,0.00000,0.00355,0.01330
1706797407.082390069961548,0.01151,0.00092,0.00008,0.01541,0.00136,0.00751,0.03678
1706797407.149073600769043,0.01432,0.00071,0.00010,0.01811,0.00019,0.01007,0.04350
1706797407.215700149536133,0.01155,0.00073,0.00002,0.00695,0.00000,0.00511,0.02435
1706797407.282307863235474,0.00658,0.00081,0.00006,0.01734,0.00000,0.00587,0.03065
1706797407.348945379257202,0.00761,0.00056,0.00003,0.01035,0.00000,0.00235,0.02091
1706797407.415541648864746,0.00342,0.00021,0.00015,0.02027,0.00161,0.00973,0.03540
1706797407.482147216796875,0.00676,0.00128,0.00011,0.01802,0.00036,0.00399,0.03053
1706797407.548866033554077,0.00497,0.00022,0.00002,0.00497,0.00030,0.00257,0.01305
1706797407.615563869476318,0.00561,0.00024,0.00002,0.01047,0.00000,0.00493,0.02126
1706797407.682281970977783,0.00870,0.00042,0.00002,0.01378,0.00000,0.00277,0.02570
1706797407.748976707458496,0.00369,0.00024,0.00016,0.00448,0.00032,0.00354,0.01244
1706797407.815594196319580,0.00547,0.00027,0.00003,0.01023,0.00000,0.00452,0.02051
1706797407.882374763488770,0.00436,0.00041,0.00002,0.00723,0.00060,0.00325,0.01587
1706797407.948961257934570,0.00885,0.00084,0.00005,0.01271,0.00005,0.00241,0.02490
1706797408.015647411346436,0.00715,0.00113,0.00007,0.01505,0.00000,0.00358,0.02698
1706797408.082418441772461,0.01282,0.00043,0.00002,0.01040,0.00000,0.00705,0.03071
1706797408.149112224578857,0.00687,0.00037,0.00002,0.00871,0.00000,0.00498,0.02095
1706797408.215820550918579,0.00647,0.00069,0.00027,0.01558,0.00034,0.00886,0.03222
1706797408.282516956329346,0.00387,0.00052,0.00002,0.00687,0.00037,0.00488,0.01652
1706797408.349159240722656,0.00824,0.00050,0.00003,0.01287,0.00098,0.00486,0.02747
1706797408.415791034698486,0.01107,0.00107,0.00007,0.02112,0.00000,0.01205,0.04538
1706797408.482478618621826,0.00597,0.00022,0.00002,0.00421,0.00000,0.00218,0.01262
1706797408.549131870269775,0.00891,0.00139,0.00132,0.01407,0.00115,0.00804,0.03488
1706797408.615767717361450,0.00395,0.00063,0.00004,0.01136,0.00000,0.00238,0.01835
